crid://crid_1_0	tv_channel	sort_title_asc	チャンネル１７８９０１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０	チャンネル１ああああああああああああ	thumb/290_l.jpg	thumb/290_m.jpg			1	4	copyright@aaa0		1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	290	1	1234567890ABCDEF	1234567890ABCDEF	1	0	0		2008-01-11-04-01-01	2012-08-31-05-01-01		単品購入１	1234567891ABCDEF	12354765	300	10	日間	2007-01-11-07-01-01	2009-03-21-08-01-01	2007-01-11-07-01-01	2009-03-21-08-01-01																													
crid://crid_1_1	tv_channel	sort_title_asc	チャンネル２	チャンネル２アアアアああああああああああああああああ	thumb/291_l.jpg	thumb/291_m.jpg			1	15	copyright@aaa3		1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	291	1	1234567890ABCDEF	1234567890ABCDEF	0	1	0				arib://0001.0067.0067	単品購入４	1234567895ABCDEF	12354765	700	10	週間	2007-01-11-07-01-01	2009-03-21-08-01-01	2007-01-11-07-01-01	2009-03-21-08-01-01																													
crid://crid_1_2	tv_channel	sort_title_asc	チャンネル３	チャンネル３ああああああああああああああああああああ	thumb/301_l.jpg	thumb/301_m.jpg			1	4	copyright@aaa6		1	0	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	301	1	1234567890ABCDEF	1234567890ABCDEF	0	0	0		2008-01-11-04-01-01	2012-08-31-05-01-01	arib://0001.0065.0065	単品購入７	1234567899ABCDEF	12354765	1100	10	ヶ月間	2007-01-11-07-01-01	2009-03-21-08-01-01	2007-01-11-07-01-01	2009-03-21-08-01-01																													
crid://crid_1_3	tv_channel	sort_title_asc	チャンネル４	チャンネル４アアあああああああああああああああああああああああああ	thumb/302_l.jpg	thumb/302_m.jpg			1	12	copyright@aaa9		1	0	0	1					2		0	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	302	1	1234567890ABCDEF	1234567890ABCDEF	1	0	0		2008-01-11-04-01-01	2012-08-31-05-01-01	arib://0001.0067.0067		1234567903ABCDEF	12354765	1500	10	日間	2007-01-11-07-01-01	2009-03-21-08-01-01	2007-01-11-07-01-01	2009-03-21-08-01-01																													
crid://crid_1_4	tv_channel	sort_title_asc	チャンネル５	チャンネル５あああああああああああ	thumb/303_l.jpg	thumb/303_m.jpg			1	4	copyright@aaa12		1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	303	1	1234567890ABCDEF	1234567890ABCDEF	1	0	0		2008-01-11-04-01-01	2012-08-31-05-01-01	arib://0001.0065.0065	単品購入１	1234567891ABCDEF	12354765	300	10	日間	2007-01-11-07-01-01	2009-03-21-08-01-01	2007-01-11-07-01-01	2009-03-21-08-01-01																													
crid://crid_1_5	tv_channel	sort_title_asc	チャンネル６	チャンネル６あああああああああああ	thumb/310_l.jpg	thumb/310_m.jpg			1	4	copyright@aaa13		0	1	1	2					3		0	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	310	0	1234567890ABCDEF	1234567890ABCDEF	1	1	0				arib://0001.0067.0067																																							
crid://crid_1_6	tv_channel	sort_title_asc	チャンネル７	チャンネル７あああああああああああ	thumb/311_l.jpg	thumb/311_m.jpg			1	4	copyright@aaa14		1	0	1	3					4		0	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-01-01-01	2012-08-31-01-01-01	311	0	1234567890ABCDEF	1234567890ABCDEF	1	0	0				arib://0001.0065.0065																																							
crid://crid_1_7	tv_channel	sort_title_asc	チャンネル８	チャンネル８あああああああああああ	thumb/312_l.jpg	thumb/312_m.jpg			1	15	copyright@aaa15		1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	312	1	1234567890ABCDEF	1234567890ABCDEF	0	1	0				arib://0001.0067.0067	単品購入４	1234567895ABCDEF	12354765	700	10	週間	2007-01-11-07-01-01	2009-03-21-08-01-01	2007-01-11-07-01-01	2009-03-21-08-01-01																													
crid://crid_1_8	tv_channel	sort_title_asc	チャンネル９	チャンネル９あああああああああああ	thumb/410_l.jpg	thumb/410_m.jpg			0	18	copyright@aaa16		0	1	1	2					3		1	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01	410	1	1234567890ABCDEF	1234567890ABCDEF	0	1	0		2008-01-11-04-01-01	2012-08-31-05-01-01	arib://0001.0065.0065	単品購入５	1234567896ABCDEF	12354765	800	10	週間	2007-01-11-07-01-01	2009-03-21-08-01-01	2007-01-11-07-01-01	2009-03-21-08-01-01																													
crid://crid_1_9	tv_channel	sort_title_asc	チャンネル１０	チャンネル１０あああああああああああ	thumb/411_l.jpg	thumb/411_m.jpg			0	20	copyright@aaa17		1	0	1	3					4		0	2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2008-01-11-01-01-01							2008-01-11-02-01-01	2008-01-11-01-01-01	411	0	1234567890ABCDEF	1234567890ABCDEF	0	0	0				arib://0001.0067.0067																																							
