crid://crid_1_0	tv_channel	sort_title_asc	チャンネル１７８９０１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０	チャンネル１ああああああああああああ					1	4			1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	290	1	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_1	tv_channel	sort_title_asc	チャンネル２	チャンネル２アアアアああああああああああああああああ					1	15			1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	291	1	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_2	tv_channel	sort_title_asc	チャンネル３	チャンネル３ああああああああああああああああああああ					1	4			1	0	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	301	1	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_3	tv_channel	sort_title_asc	チャンネル４	チャンネル４アアあああああああああああああああああああああああああ					1	12			1	0	0	1					2		0	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	302	1	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_4	tv_channel	sort_title_asc	チャンネル５	チャンネル５あああああああああああ					1	4			1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	303	1	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_5	tv_channel	sort_title_asc	チャンネル６	チャンネル６あああああああああああ					1	4			0	1	1	2					3		0	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	310	0	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_6	tv_channel	sort_title_asc	チャンネル７	チャンネル７あああああああああああ					1	4			1	0	1	3					4		0	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-01-01-01	2012-08-31-01-01-01	311	0	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_7	tv_channel	sort_title_asc	チャンネル８	チャンネル８あああああああああああ					1	15			1	1	1	1					2		1	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	312	1	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_8	tv_channel	sort_title_asc	チャンネル９	チャンネル９あああああああああああ					0	18			0	1	1	2					3		1	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2012-08-31-01-01-01	410	1	1234567890ABCDEF	1234567890ABCDEF																																														
crid://crid_1_9	tv_channel	sort_title_asc	チャンネル１０	チャンネル１０あああああああああああ					0	20			1	0	1	3					4		0	2008-01-10-01-01-01	2012-08-11-01-01-01									2008-01-11-02-01-01	2008-01-11-01-01-01	411	0	1234567890ABCDEF	1234567890ABCDEF																																														
